t (s) 	m_dot_g_surf (kg/m²/s)	m_dot_c (kg/m²/s)	< 98 % Virgin	> 1.02 % Char	Total recession (m)
11.4	0.0163801	0.0436457	0.00600774	0.00214097	0.00212065
11.5	0.0163473	0.0436562	0.00604378	0.00216055	0.00214024
11.6	0.0163149	0.0436667	0.00607905	0.00218014	0.00215984
11.7	0.0162861	0.0436758	0.00611363	0.00219974	0.00217944
11.8	0.0162512	0.0436874	0.00614988	0.00221934	0.00219905
11.9	0.0162202	0.0436974	0.00618552	0.00223894	0.00221867
12	0.0161895	0.0437073	0.00622045	0.00225855	0.00223829
12.1	0.016159	0.0437172	0.00625471	0.00227817	0.00225791
12.2	0.016132	0.0437258	0.00629034	0.00229779	0.00227754
12.3	0.0160991	0.0437368	0.00632568	0.00231741	0.00229718
12.4	0.0160702	0.0437462	0.00636034	0.00233704	0.00231682
12.5	0.0160413	0.0437556	0.00639436	0.00235668	0.00233646
12.6	0.0160127	0.043765	0.00642917	0.00237632	0.00235611
12.7	0.0159876	0.043773	0.00646429	0.00239596	0.00237576
12.8	0.0159567	0.0437834	0.00649876	0.00241561	0.00239542
12.9	0.0159294	0.0437923	0.00653261	0.00243527	0.00241509
13	0.0159023	0.0438012	0.00656641	0.00245493	0.00243476
13.1	0.0158754	0.0438101	0.00660138	0.00247459	0.00245443
13.2	0.01585	0.0438184	0.00663571	0.00249426	0.00247411
13.3	0.0158225	0.0438276	0.00666945	0.00251394	0.00249379
13.4	0.0157966	0.0438361	0.00670263	0.00253361	0.00251348
13.5	0.0157711	0.0438445	0.00673694	0.0025533	0.00253317
13.6	0.0157457	0.043853	0.00677121	0.00257298	0.00255286
13.7	0.0157219	0.0438608	0.00680489	0.00259267	0.00257256
13.8	0.0156959	0.0438695	0.00683804	0.00261237	0.00259227
13.9	0.0156715	0.0438776	0.00687094	0.00263207	0.00261198
14	0.0156474	0.0438857	0.00690521	0.00265177	0.00263169
14.1	0.0156236	0.0438936	0.0069389	0.00267148	0.00265141
14.2	0.0156012	0.043901	0.00697205	0.00269119	0.00267113
14.3	0.0155766	0.0439093	0.00700469	0.00271091	0.00269085
14.4	0.0155535	0.043917	0.00703768	0.00273063	0.00271058
14.5	0.0155306	0.0439247	0.00707143	0.00275035	0.00273031
14.6	0.015508	0.0439323	0.00710465	0.00277008	0.00275005
14.7	0.015487	0.0439393	0.00713736	0.00278981	0.00276979
14.8	0.0154635	0.0439472	0.0071696	0.00280955	0.00278954
14.9	0.0154417	0.0439546	0.00720241	0.00282929	0.00280929
15	0.01542	0.0439619	0.00723575	0.00284903	0.00282904
15.1	0.0153985	0.0439691	0.00726858	0.00286878	0.00284879
15.2	0.0153785	0.0439758	0.00730094	0.00288853	0.00286855
15.3	0.0153564	0.0439834	0.00733284	0.00290828	0.00288832
15.4	0.0153357	0.0439903	0.00736528	0.00292804	0.00290809
15.5	0.0153152	0.0439973	0.00739827	0.0029478	0.00292786
15.6	0.0152948	0.0440042	0.00743079	0.00296757	0.00294763
15.7	0.0152758	0.0440106	0.00746286	0.00298734	0.00296741
15.8	0.0152548	0.0440178	0.0074945	0.00300711	0.00298719
15.9	0.0152351	0.0440245	0.00752636	0.00302688	0.00300698
16	0.0152156	0.0440311	0.00755909	0.00304666	0.00302676
16.1	0.0151964	0.0440376	0.00759137	0.00306645	0.00304656
16.2	0.0151773	0.0440442	0.00762321	0.00308623	0.00306635
16.3	0.0151583	0.0440506	0.00765465	0.00310602	0.00308615
16.4	0.0151395	0.0440571	0.00768573	0.00312581	0.00310595
16.5	0.0151209	0.0440634	0.00771825	0.00314561	0.00312576
16.6	0.0151025	0.0440697	0.00775035	0.00316541	0.00314556
16.7	0.0150844	0.0440759	0.00778203	0.00318521	0.00316538
16.8	0.0150664	0.0440821	0.00781331	0.00320502	0.00318519
16.9	0.0150486	0.0440882	0.00784421	0.00322483	0.00320501
17	0.0150309	0.0440943	0.00787578	0.00324464	0.00322483
17.1	0.0150134	0.0441003	0.00790774	0.00326445	0.00324465
17.2	0.014996	0.0441063	0.00793931	0.00328427	0.00326448
17.3	0.0149789	0.0441122	0.00797048	0.00330409	0.00328431
17.4	0.0149619	0.044118	0.00800129	0.00332392	0.00330414
17.5	0.014945	0.0441239	0.00803175	0.00334374	0.00332398
17.6	0.0149284	0.0441296	0.00806357	0.00336357	0.00334382
17.7	0.0149118	0.0441353	0.00809506	0.00338341	0.00336366
17.8	0.0148954	0.044141	0.00812617	0.00340324	0.00338351
17.9	0.0148792	0.0441466	0.00815693	0.00342308	0.00340336
18	0.0148631	0.0441522	0.00818735	0.00344292	0.00342321
18.1	0.0148471	0.0441577	0.0082178	0.00346277	0.00344306
18.2	0.0148313	0.0441632	0.00824927	0.00348261	0.00346292
18.3	0.0148157	0.0441686	0.00828037	0.00350246	0.00348278
18.4	0.0148002	0.044174	0.00831112	0.00352232	0.00350264
18.5	0.0147848	0.0441794	0.00834154	0.00354217	0.0035225
18.6	0.0147696	0.0441847	0.00837163	0.00356203	0.00354237
18.7	0.0147545	0.04419	0.00840191	0.00358189	0.00356224
18.8	0.0147395	0.0441952	0.00843304	0.00360175	0.00358211
18.9	0.0147247	0.0442004	0.00846382	0.00362162	0.00360199
19	0.01471	0.0442055	0.00849427	0.00364149	0.00362187
19.1	0.0146954	0.0442106	0.00852441	0.00366136	0.00364175
19.2	0.0146809	0.0442156	0.00855424	0.00368124	0.00366163
19.3	0.0146666	0.0442206	0.00858411	0.00370111	0.00368152
19.4	0.0146524	0.0442256	0.00861496	0.00372099	0.00370141
19.5	0.0146383	0.0442306	0.00864549	0.00374087	0.0037213
19.6	0.0146244	0.0442355	0.0086757	0.00376076	0.00374119
