p (bar)	B'g	Temp (K)	B'c	Hw (kJ/kg)
1.01325D-03	2.00000D-02	5.00000E+02	7.47705E-02	-2.52832E+03
1.01325D-03	2.00000D-02	5.25000E+02	7.59053E-02	-2.48898E+03
1.01325D-03	2.00000D-02	5.50000E+02	7.73352E-02	-2.44483E+03
1.01325D-03	2.00000D-02	5.75000E+02	7.92484E-02	-2.39248E+03
1.01325D-03	2.00000D-02	6.00000E+02	8.20709E-02	-2.32513E+03
1.01325D-03	2.00000D-02	6.25000E+02	8.65205E-02	-2.23188E+03
1.01325D-03	2.00000D-02	6.50000E+02	9.35573E-02	-2.09882E+03
1.01325D-03	2.00000D-02	6.75000E+02	1.04093E-01	-1.91395E+03
1.01325D-03	2.00000D-02	7.00000E+02	1.18258E-01	-1.67841E+03
1.01325D-03	2.00000D-02	7.25000E+02	1.34356E-01	-1.42007E+03
1.01325D-03	2.00000D-02	7.50000E+02	1.48898E-01	-1.18904E+03
1.01325D-03	2.00000D-02	7.75000E+02	1.59076E-01	-1.02155E+03
1.01325D-03	2.00000D-02	8.00000E+02	1.64845E-01	-9.15076E+02
1.01325D-03	2.00000D-02	8.25000E+02	1.67738E-01	-8.47423E+02
1.01325D-03	2.00000D-02	8.50000E+02	1.69125E-01	-7.99782E+02
1.01325D-03	2.00000D-02	8.75000E+02	1.69791E-01	-7.61598E+02
1.01325D-03	2.00000D-02	9.00000E+02	1.70118E-01	-7.27770E+02
1.01325D-03	2.00000D-02	9.25000E+02	1.70283E-01	-6.95939E+02
1.01325D-03	2.00000D-02	9.50000E+02	1.70369E-01	-6.65012E+02
1.01325D-03	2.00000D-02	9.75000E+02	1.70416E-01	-6.34473E+02
1.01325D-03	2.00000D-02	1.00000E+03	1.70442E-01	-6.04071E+02
1.01325D-03	2.00000D-02	1.02500E+03	1.70457E-01	-5.73683E+02
1.01325D-03	2.00000D-02	1.05000E+03	1.70466E-01	-5.43248E+02
1.01325D-03	2.00000D-02	1.07500E+03	1.70471E-01	-5.12734E+02
1.01325D-03	2.00000D-02	1.10000E+03	1.70475E-01	-4.82125E+02
1.01325D-03	2.00000D-02	1.12500E+03	1.70478E-01	-4.51414E+02
1.01325D-03	2.00000D-02	1.15000E+03	1.70480E-01	-4.20597E+02
1.01325D-03	2.00000D-02	1.17500E+03	1.70482E-01	-3.89674E+02
1.01325D-03	2.00000D-02	1.20000E+03	1.70484E-01	-3.58644E+02
1.01325D-03	2.00000D-02	1.22500E+03	1.70487E-01	-3.27509E+02
1.01325D-03	2.00000D-02	1.25000E+03	1.70490E-01	-2.96268E+02
1.01325D-03	2.00000D-02	1.27500E+03	1.70493E-01	-2.64924E+02
1.01325D-03	2.00000D-02	1.30000E+03	1.70497E-01	-2.33474E+02
1.01325D-03	2.00000D-02	1.32500E+03	1.70502E-01	-2.01920E+02
1.01325D-03	2.00000D-02	1.35000E+03	1.70508E-01	-1.70260E+02
1.01325D-03	2.00000D-02	1.37500E+03	1.70514E-01	-1.38490E+02
1.01325D-03	2.00000D-02	1.40000E+03	1.70522E-01	-1.06608E+02
1.01325D-03	2.00000D-02	1.42500E+03	1.70532E-01	-7.46088E+01
1.01325D-03	2.00000D-02	1.45000E+03	1.70543E-01	-4.24848E+01
1.01325D-03	2.00000D-02	1.47500E+03	1.70556E-01	-1.02275E+01
1.01325D-03	2.00000D-02	1.50000E+03	1.70571E-01	2.21745E+01
1.01325D-03	2.00000D-02	1.52500E+03	1.70588E-01	5.47349E+01
1.01325D-03	2.00000D-02	1.55000E+03	1.70608E-01	8.74711E+01
1.01325D-03	2.00000D-02	1.57500E+03	1.70631E-01	1.20404E+02
1.01325D-03	2.00000D-02	1.60000E+03	1.70656E-01	1.53557E+02
1.01325D-03	2.00000D-02	1.62500E+03	1.70685E-01	1.86960E+02
1.01325D-03	2.00000D-02	1.65000E+03	1.70717E-01	2.20647E+02
1.01325D-03	2.00000D-02	1.67500E+03	1.70754E-01	2.54658E+02
1.01325D-03	2.00000D-02	1.70000E+03	1.70794E-01	2.89037E+02
1.01325D-03	2.00000D-02	1.72500E+03	1.70839E-01	3.23835E+02
1.01325D-03	2.00000D-02	1.75000E+03	1.70888E-01	3.59111E+02
1.01325D-03	2.00000D-02	1.77500E+03	1.70942E-01	3.94929E+02
1.01325D-03	2.00000D-02	1.80000E+03	1.71002E-01	4.31359E+02
1.01325D-03	2.00000D-02	1.82500E+03	1.71066E-01	4.68478E+02
1.01325D-03	2.00000D-02	1.85000E+03	1.71137E-01	5.06370E+02
1.01325D-03	2.00000D-02	1.87500E+03	1.71212E-01	5.45123E+02
1.01325D-03	2.00000D-02	1.90000E+03	1.71293E-01	5.84826E+02
1.01325D-03	2.00000D-02	1.92500E+03	1.71380E-01	6.25574E+02
