p (Pa)	B'g	B'c	Temp (K)	hw (J/kg)
1.01325E+05	5.00000E+00	0.00000E+00	9.50000E+02	-2.24491E+06
1.01325E+05	5.00000E+00	0.00000E+00	9.00000E+02	-2.95691E+06
1.01325E+05	5.00000E+00	0.00000E+00	8.50000E+02	-3.77648E+06
1.01325E+05	5.00000E+00	0.00000E+00	8.00000E+02	-4.50040E+06
1.01325E+05	5.00000E+00	0.00000E+00	7.50000E+02	-5.03493E+06
1.01325E+05	5.00000E+00	0.00000E+00	7.00000E+02	-5.39204E+06
1.01325E+05	5.00000E+00	0.00000E+00	6.50000E+02	-5.62980E+06
1.01325E+05	5.00000E+00	0.00000E+00	6.00000E+02	-5.80056E+06
1.01325E+05	5.00000E+00	0.00000E+00	5.50000E+02	-5.93417E+06
1.01325E+05	5.00000E+00	0.00000E+00	5.00000E+02	-6.04581E+06
1.01325E+05	5.00000E+00	0.00000E+00	4.50000E+02	-6.14384E+06
1.01325E+05	5.00000E+00	0.00000E+00	4.00000E+02	-6.23310E+06
1.01325E+05	5.00000E+00	0.00000E+00	3.50000E+02	-6.31628E+06
1.01325E+05	5.00000E+00	0.00000E+00	3.00000E+02	-6.39489E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.50000E+02	-6.46998E+06
p (Pa)	B'g	B'c	Temp (K)	hw (J/kg)
1.01325E+05	3.00000E+00	3.02861E+01	3.90000E+03	2.94349E+07
1.01325E+05	3.00000E+00	1.48533E+01	3.85000E+03	2.90803E+07
1.01325E+05	3.00000E+00	8.74658E+00	3.80000E+03	2.83749E+07
1.01325E+05	3.00000E+00	5.64004E+00	3.75000E+03	2.73665E+07
1.01325E+05	3.00000E+00	3.84353E+00	3.70000E+03	2.61161E+07
1.01325E+05	3.00000E+00	2.72109E+00	3.65000E+03	2.46935E+07
1.01325E+05	3.00000E+00	1.98230E+00	3.60000E+03	2.31688E+07
1.01325E+05	3.00000E+00	1.47678E+00	3.55000E+03	2.16055E+07
1.01325E+05	3.00000E+00	1.11963E+00	3.50000E+03	2.00557E+07
1.01325E+05	3.00000E+00	8.59795E-01	3.45000E+03	1.85585E+07
1.01325E+05	3.00000E+00	6.65205E-01	3.40000E+03	1.71406E+07
1.01325E+05	3.00000E+00	5.15053E-01	3.35000E+03	1.58179E+07
1.01325E+05	3.00000E+00	3.95558E-01	3.30000E+03	1.45978E+07
1.01325E+05	3.00000E+00	2.97484E-01	3.25000E+03	1.34809E+07
1.01325E+05	3.00000E+00	2.14617E-01	3.20000E+03	1.24631E+07
1.01325E+05	3.00000E+00	1.42780E-01	3.15000E+03	1.15377E+07
1.01325E+05	3.00000E+00	7.91894E-02	3.10000E+03	1.06961E+07
